City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Ulaangom,MN,2022-07-28 03:15:25,overcast clouds,49.9811,92.0667,65.86,41,100,3.78
227,Xiongzhou,CN,2022-07-28 03:15:26,broken clouds,25.1167,114.3,97.97,44,80,4.29
228,Quelimane,MZ,2022-07-28 03:15:26,clear sky,-17.8786,36.8883,60.49,81,0,2.75
229,Hambantota,LK,2022-07-28 03:15:26,overcast clouds,6.1241,81.1185,80.51,74,90,5.23
230,Norman Wells,CA,2022-07-28 03:15:27,broken clouds,65.282,-126.8329,64.44,55,75,3.44
231,Zhigansk,RU,2022-07-28 03:15:27,clear sky,66.7697,123.3711,78.35,48,6,4.25
232,Viransehir,TR,2022-07-28 03:15:27,clear sky,37.2353,39.7631,83.97,17,0,4.63
233,Mutoko,ZW,2022-07-28 03:15:28,clear sky,-17.397,32.2268,46.76,83,0,2.51
234,Mehriz,IR,2022-07-28 03:15:28,overcast clouds,31.5917,54.4318,82.9,48,91,5.41
235,Coquimbo,CL,2022-07-28 03:13:17,broken clouds,-29.9533,-71.3436,53.33,93,75,1.14
236,Toora-Khem,RU,2022-07-28 03:15:29,overcast clouds,52.4675,96.11,65.03,44,97,3.31
237,Lensk,RU,2022-07-28 03:15:29,clear sky,60.7253,114.9278,89.06,41,3,10.18
238,Srivardhan,IN,2022-07-28 03:15:29,overcast clouds,18.0333,73.0167,80.29,82,100,4.18
239,Port Elizabeth,ZA,2022-07-28 03:11:21,overcast clouds,-33.918,25.5701,60.1,100,100,0.0
240,Karratha,AU,2022-07-28 03:12:27,clear sky,-20.7377,116.8463,79.48,32,0,16.71
241,Manokwari,ID,2022-07-28 03:15:30,broken clouds,-0.8667,134.0833,84.29,67,59,9.4
242,Stornoway,GB,2022-07-28 03:15:30,mist,58.2093,-6.3865,48.92,94,100,1.14
243,Tomas Oppus,PH,2022-07-28 03:15:31,scattered clouds,10.2506,124.9831,84.85,84,38,8.41
244,Mount Vernon,US,2022-07-28 03:15:31,broken clouds,40.9126,-73.8371,79.02,77,75,5.75
245,Hun,LY,2022-07-28 03:15:31,clear sky,29.1268,15.9477,77.02,43,0,5.59
246,Churapcha,RU,2022-07-28 03:15:32,few clouds,62.0025,132.4325,87.66,34,19,5.82
247,Port Keats,AU,2022-07-28 03:15:32,scattered clouds,-14.25,129.55,85.1,27,31,8.5
248,Amahai,ID,2022-07-28 03:15:32,heavy intensity rain,-3.3333,128.9167,77.77,90,97,10.45
249,Talnakh,RU,2022-07-28 03:13:31,overcast clouds,69.4865,88.3972,58.21,63,93,11.88
250,Eydhafushi,MV,2022-07-28 03:15:33,overcast clouds,5.1033,73.0708,82.04,74,100,14.81
251,Antalaha,MG,2022-07-28 03:15:33,light rain,-14.9003,50.2788,67.57,91,100,5.03
252,Lerwick,GB,2022-07-28 03:15:34,scattered clouds,60.1545,-1.1494,53.6,79,45,6.26
253,Sorong,ID,2022-07-28 03:15:34,scattered clouds,-0.8833,131.25,81.72,80,29,4.5
254,Masumbwe,TZ,2022-07-28 03:15:34,broken clouds,-3.6333,32.1833,68.29,52,70,5.53
255,Maraa,BR,2022-07-28 03:15:35,scattered clouds,-1.8333,-65.3667,72.05,96,42,2.66
256,Severo-Kurilsk,RU,2022-07-28 03:11:03,overcast clouds,50.6789,156.125,55.35,87,96,6.58
257,Esmeraldas,BR,2022-07-28 03:15:35,clear sky,-19.7625,-44.3139,59.86,71,0,3.49
258,Shingu,JP,2022-07-28 03:15:36,scattered clouds,33.7333,135.9833,85.21,71,41,6.55
259,Sola,VU,2022-07-28 03:12:50,overcast clouds,-13.8833,167.55,79.88,78,100,10.49
